[header]
width=25
height=19
tilewidth=32
tileheight=32

[tilesets]
tileset=../img/map.png,32,32,0,0

[layer]
type=Calque de Tile 1
data=
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,0,3,
3,3,3,3,3,3,3,3,3,1,11,12,2,3,3,3,3,3,3,3,3,3,3,0,3,
3,3,3,3,3,3,3,3,1,11,21,22,12,2,3,3,3,3,3,3,3,3,3,0,3,
3,3,3,3,3,3,3,1,11,21,62,62,22,12,2,3,3,3,3,3,3,3,3,0,3,
3,3,3,3,3,3,1,11,21,62,62,62,62,22,12,2,3,3,3,3,3,3,3,0,3,
3,3,3,3,3,1,11,21,62,62,62,62,62,62,22,12,3,3,3,3,3,3,3,0,3,
3,3,3,0,1,11,21,62,62,62,62,62,62,62,62,62,3,3,3,3,3,3,3,0,3,
3,3,3,0,11,21,62,62,62,62,62,62,62,62,62,62,62,62,62,62,3,3,3,0,3,
3,3,3,0,21,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62

